bn:00000004n	صفر
bn:00030721n	مقصد
bn:00030721n	نتیجہ
bn:00030722n	آخر
bn:00030722n	اختتام
bn:00030722n	خاتمہ
bn:00030723n	آخر
bn:00030723n	اختتام
bn:00030725n	اختتام
bn:00030747n	خطرہ
bn:00030747n	میں
bn:00030757n	اختتام
bn:00030806n	تحفہ
bn:00030806n	صلاحیت
bn:00030810n	برداشت
bn:00030814n	دشمن
bn:00030815n	دشمن
bn:00030816n	دشمن
bn:00030817n	دشمن
bn:00030820n	توانائی
bn:00030821n	توانائی
bn:00030822n	توانائی
bn:00030823n	توانائی
bn:00030839n	نفاذ
bn:00030844n	شرکت
bn:00030844n	شمولیت
bn:00030862n	انگریزی
bn:00030863n	انگریزی
bn:00030864n	انگریزی
bn:00030891n	انگریز
bn:00030916n	لطف
bn:00030916n	مزہ
bn:00030917n	لطف
bn:00030951n	سوال
bn:00030951n	گچھ
bn:00030952n	تحقیق
bn:00030952n	تلاش
bn:00030988n	داخلہ
bn:00030989n	داخلہ
bn:00031017n	خروش
bn:00031018n	جذبہ
bn:00031018n	جوش
bn:00031027n	وجود
bn:00031044n	داخلہ
bn:00031062n	اندراج
bn:00031063n	داخلہ
bn:00031065n	شمار
bn:00031067n	لفافہ
bn:00031073n	حسد
bn:00031074n	ماحول
bn:00031075n	ماحول
bn:00031075n	گرد
bn:00031153n	بیماری
bn:00031153n	وبا
bn:00031224n	واقعات
bn:00031224n	واقعہ
bn:00031225n	واقعات
bn:00031225n	واقعہ
bn:00031261n	دور
bn:00031261n	زمانہ
bn:00031284n	مساوات
bn:00031285n	مساوات
bn:00031294n	استوا
bn:00031312n	توازن
bn:00031322n	سامان
bn:00031337n	برابر
bn:00031345n	گھوڑا
bn:00031475n	محبت
bn:00031480n	کام
bn:00031483n	غلطی
bn:00031484n	غلطی
bn:00031485n	غلطی
bn:00031486n	غلطی
bn:00031487n	غلطی
bn:00031545n	فرار
bn:00031546n	فرار
bn:00031609n	جاسوسی
bn:00031622n	مضمون
bn:00031623n	مضامین
bn:00031629n	خوشبو
bn:00031631n	ضرورت
bn:00031641n	ادارہ
bn:00031642n	ادارہ
bn:00031643n	ادارہ
bn:00031653n	احترام
bn:00031653n	عزت
bn:00031654n	احترام
bn:00031654n	عزت
bn:00031660n	اندازہ
bn:00031660n	تخمینہ
bn:00031680n	وغیرہ
bn:00031708n	نسخہ
bn:00031744n	آداب
bn:00031853n	موسیقی
bn:00031896n	یورپ
bn:00031970n	انخلا
bn:00031972n	درجہ
bn:00031973n	بندی
bn:00031973n	درجہ
bn:00031973n	قیمت
bn:00031974n	جج
bn:00031976n	انجیل
bn:00031998n	رات
bn:00031998n	شام
bn:00032021n	تقریب
bn:00032021n	واقعات
bn:00032021n	واقعہ
bn:00032045n	ثبوت
bn:00032046n	ثبوت
bn:00032046n	گواہی
bn:00032047n	ثبوت
bn:00032048n	برائی
bn:00032049n	برائی
bn:00032050n	برائی
bn:00032053n	گناہگار
bn:00032075n	فوجی
bn:00032075n	کار
bn:00032089n	امتحان
bn:00032093n	جائزہ
bn:00032093n	جانچ
bn:00032093n	پڑتال
bn:00032099n	مثال
bn:00032100n	مثال
bn:00032101n	مثال
bn:00032102n	مشق
bn:00032121n	اضافہ
bn:00032125n	تبادلہ
bn:00032126n	تبادلہ
bn:00032127n	بدلہ
bn:00032127n	تبادلہ
bn:00032128n	تبادلہ
bn:00032138n	خزانہ
bn:00032147n	جوش
bn:00032148n	جوش
bn:00032163n	سفر
bn:00032175n	قتل
bn:00032175n	میں
bn:00032197n	مثال
bn:00032199n	آزادی
bn:00032199n	چھوٹ
bn:00032203n	مشق
bn:00032203n	ورزش
bn:00032209n	وزن
bn:00032242n	باہر
bn:00032255n	شادی
bn:00032286n	امکان
bn:00032286n	توقع
bn:00032294n	پرستی
bn:00032300n	خرچ
bn:00032306n	تجربہ
bn:00032307n	تجربہ
bn:00032308n	تجربہ
bn:00032309n	تجربہ
bn:00032310n	تجربہ
bn:00032311n	تجربہ
bn:00032322n	ماہر
bn:00032325n	خاتمہ
bn:00032328n	وضاحت
bn:00032337n	صارفین
bn:00032338n	دریافت
bn:00032340n	دریافت
bn:00032355n	طاقت
bn:00032373n	اعتراض
bn:00032381n	تصاویر
bn:00032381n	تصویر
bn:00032400n	انداز
bn:00032411n	توسیع
bn:00032412n	توسیع
bn:00032413n	توسیع
bn:00032414n	توسیع
bn:00032415n	توسیع
bn:00032429n	باہر
bn:00032493n	پسند
bn:00032501n	چوٹی
bn:00032512n	آنکھ
bn:00032513n	آنکھ
bn:00032514n	آنکھ
bn:00032547n	چشمہ
bn:00032552n	پلک
bn:00032558n	نظر
bn:00032591n	افسانہ
bn:00032600n	رخ
bn:00032600n	شکل
bn:00032600n	منہ
bn:00032600n	چہرہ
bn:00032601n	منہ
bn:00032601n	چہرہ
bn:00032604n	طرف
bn:00032605n	رخ
bn:00032645n	آسانی
bn:00032654n	حقیقت
bn:00032655n	حقیقت
bn:00032656n	حقیقت
bn:00032657n	حقیقت
bn:00032661n	عنصر
bn:00032661n	کار
bn:00032675n	خانہ
bn:00032675n	کار
bn:00032675n	کارخانہ
bn:00032695n	پری
bn:00032718n	کمزوری
bn:00032721n	ناکامی
bn:00032722n	ناکامی
bn:00032723n	ناکامی
bn:00032724n	ناکامی
bn:00032725n	ناکامی
bn:00032742n	شکار
bn:00032742n	نشانہ
bn:00032742n	ہدف
bn:00032763n	پری
bn:00032768n	آس
bn:00032768n	ایمان
bn:00032768n	دین
bn:00032768n	فرقہ
bn:00032768n	مذہب
bn:00032768n	یقین
bn:00032769n	ایمان
bn:00032770n	ایمان
bn:00032770n	مذہب
bn:00032771n	ایمان
bn:00032777n	دھوکہ
bn:00032807n	زوال
bn:00032830n	آبشار
bn:00032874n	جھوٹ
bn:00032890n	واقفیت
bn:00032892n	خاندان
bn:00032892n	گھر
bn:00032893n	خاندان
bn:00032893n	گھر
bn:00032894n	خاندان
bn:00032895n	خاندان
bn:00032896n	خاندان
bn:00033359n	رشتہ
bn:00033596n	بھوک
bn:00033616n	فریب
bn:00033618n	محبت
bn:00033624n	محبوبہ
bn:00033671n	الوداع
bn:00033672n	علیحدگی
bn:00033676n	زراعت
bn:00033676n	کھیت
bn:00033687n	کسان
bn:00033695n	زمین
bn:00033729n	انداز
bn:00033729n	راستہ
bn:00033729n	شکل
bn:00033729n	طرح
bn:00033729n	طرز
bn:00033729n	طریقہ
bn:00033729n	طور
bn:00033729n	قطع
bn:00033730n	رنگ
bn:00033750n	چال
bn:00033758n	رفتار
bn:00033761n	چربی
bn:00033776n	باپ
bn:00033776n	والد
bn:00033777n	باپ
bn:00033837n	برتری
bn:00033854n	خوف
bn:00033858n	دعوت
bn:00033865n	پنکھ
bn:00033883n	بخار
bn:00033896n	زرخیزی
bn:00033939n	فیس
bn:00033946n	خوراک
bn:00033960n	احساس
bn:00033960n	اسرار
bn:00033960n	روح
bn:00033960n	لہجہ
bn:00033963n	احساس
bn:00033964n	احساس
bn:00033994n	کھال
bn:00034003n	ہمدردی
bn:00034004n	رکن
bn:00034004n	فرد
bn:00034016n	عورت
bn:00034016n	مادہ
bn:00034017n	عورت
bn:00034021n	لڑکی
bn:00034025n	ملکہ
bn:00034027n	ماں
bn:00034027n	والدہ
bn:00034048n	احاطہ
bn:00034115n	تشدد
bn:00034150n	تہوار
bn:00034203n	کہانی
bn:00034242n	افسانہ
bn:00034258n	وفاداری
bn:00034265n	میدان
bn:00034265n	کھیت
bn:00034266n	فیلڈ
bn:00034266n	میدان
bn:00034267n	شعبہ
bn:00034267n	فیلڈ
bn:00034267n	میدان
bn:00034268n	شعبہ
bn:00034268n	فیلڈ
bn:00034268n	میدان
bn:00034269n	شعبہ
bn:00034269n	فیلڈ
bn:00034269n	میدان
bn:00034270n	میدان
bn:00034271n	میدان
bn:00034272n	میدان
bn:00034293n	شیشہ
bn:00034369n	شکل
bn:00034389n	شکل
bn:00034390n	صورت
bn:00034391n	شکل
bn:00034392n	تعداد
bn:00034392n	رقم
bn:00034392n	شکل
bn:00034393n	شکل
bn:00034394n	تعداد
bn:00034404n	پیش
bn:00034406n	مجسمہ
bn:00034453n	لڑکی
bn:00034471n	تصویر
bn:00034471n	فلم
bn:00034472n	فلم
bn:00034473n	فلم
bn:00034520n	نتائج
bn:00034520n	نتیجہ
bn:00034524n	مالیات
bn:00034541n	خزانچی
bn:00034552n	فیصلہ
bn:00034565n	انگلی
bn:00034588n	ناخن
bn:00034623n	آگ
bn:00034624n	آگ
bn:00034625n	آگ
bn:00034625n	شعلہ
bn:00034626n	آگ
bn:00034627n	آتش
bn:00034627n	آگ
bn:00034702n	آتش
bn:00034732n	مضبوطی
bn:00034737n	پہلا
bn:00034738n	پہلا
bn:00034786n	ساتھی
bn:00034816n	مچھلی
bn:00034817n	مچھلی
bn:00034818n	مچھلی
bn:00034854n	ماہی
bn:00034854n	گیر
bn:00034872n	مچھلی
bn:00034919n	مرمت
bn:00034921n	مقام
bn:00034960n	پرچم
bn:00035052n	چمکنا
bn:00035053n	چمکنا
bn:00035077n	والی
bn:00035079n	منزل
bn:00035123n	چاندی
bn:00035144n	کمال
bn:00035182n	گوشت
bn:00035189n	لچک
bn:00035190n	لچک
bn:00035201n	چنگاری
bn:00035206n	پرواز
bn:00035207n	پرواز
bn:00035208n	پرواز
bn:00035209n	پرواز
bn:00035210n	پرواز
bn:00035231n	نوشی
bn:00035286n	گلہ
bn:00035293n	سیلاب
bn:00035294n	سیلاب
bn:00035304n	زمین
bn:00035304n	فرش
bn:00035305n	زمین
bn:00035306n	زمین
bn:00035307n	فرش
bn:00035324n	میں
bn:00035324n	نم
bn:00035324n	والا
bn:00035324n	پودا
bn:00035347n	فروش
bn:00035348n	فروش
bn:00035361n	آٹا
bn:00035370n	بہنا
bn:00035371n	بہنا
bn:00035372n	بہنا
bn:00035372n	جو
bn:00035372n	روانی
bn:00035373n	بہنا
bn:00035374n	بہنا
bn:00035378n	پھول
bn:00035409n	برتن
bn:00035414n	تبدیلی
bn:00035414n	فرق
bn:00035426n	سیال
bn:00035426n	مائع
bn:00035494n	مکھی
bn:00035496n	مکھی
bn:00035548n	جھاگ
bn:00035562n	توجہ
bn:00035562n	نقطہ
bn:00035563n	توجہ
bn:00035564n	زور
bn:00035570n	دھند
bn:00035571n	دھند
bn:00035596n	پتا
bn:00035596n	پتی
bn:00035628n	جائزہ
bn:00035649n	اجزاء
bn:00035649n	خوراک
bn:00035649n	میں
bn:00035649n	والا
bn:00035649n	کھا
bn:00035649n	کھانا
bn:00035663n	مارکیٹ
bn:00035679n	قدم
bn:00035679n	پیر
bn:00035683n	قدم
bn:00035685n	فوج
bn:00035727n	قدم
bn:00035736n	نشان
bn:00035745n	قدم
bn:00035746n	رفتار
bn:00035746n	قدم
bn:00035759n	چھاپہ
bn:00035762n	صبر
bn:00035767n	طاقت
bn:00035767n	قوت
bn:00035768n	طاقت
bn:00035768n	قوت
bn:00035769n	زبردستی
bn:00035769n	زور
bn:00035769n	طاقت
bn:00035769n	قوت
bn:00035770n	افراد
bn:00035770n	طاقت
bn:00035770n	عملہ
bn:00035770n	قوت
bn:00035770n	کار
bn:00035771n	فوج
bn:00035772n	تشدد
bn:00035772n	زور
bn:00035772n	طاقت
bn:00035772n	قوت
bn:00035773n	اختیار
bn:00035773n	طاقت
bn:00035773n	قوت
bn:00035778n	دباؤ
bn:00035811n	انگلی
bn:00035851n	صبح
bn:00035859n	پیش
bn:00035865n	پیش
bn:00035868n	جنگل
bn:00035868n	لکڑی
bn:00035869n	جنگل
bn:00035886n	قربانی
bn:00035898n	معافی
bn:00035907n	درجہ
bn:00035907n	شکل
bn:00035907n	صورت
bn:00035907n	طرح
bn:00035907n	قسم
bn:00035908n	شکل
bn:00035908n	طرح
bn:00035908n	نمونہ
bn:00035909n	شکل
bn:00035911n	شکل
bn:00035912n	شکل
bn:00035925n	عنوان
bn:00035940n	تشکیل
bn:00035941n	تشکیل
bn:00035942n	تشکیل
bn:00035943n	تشکیل
bn:00035965n	تیاری
bn:00035974n	قلعہ
bn:00035975n	قلعہ
bn:00035983n	طاقت
bn:00035983n	قوت
bn:00035991n	قلعہ
bn:00036002n	دولت
bn:00036003n	قسمت
bn:00036063n	بنیاد
bn:00036064n	بنیاد
bn:00036077n	چشمہ
bn:00036083n	سربراہ
bn:00036107n	مربع
bn:00036116n	وقت
bn:00036152n	ٹکڑا
bn:00036165n	ٹکڑا
bn:00036166n	ٹکڑا
bn:00036178n	برائی
bn:00036178n	بعد
bn:00036292n	دھوکہ
bn:00036376n	آزادی
bn:00036377n	باغی
bn:00036396n	آزادی
bn:00036478n	سرپرست
bn:00036491n	تازگی
bn:00036492n	چمکنا
bn:00036512n	جمعہ
bn:00036522n	میچ
bn:00036538n	دوست
bn:00036545n	دوستی
bn:00036630n	موجودگی
bn:00036632n	تحریک
bn:00036654n	سرحد
bn:00036657n	چوکی
bn:00036686n	پھل
bn:00036687n	پھل
bn:00036688n	پھل
bn:00036734n	ایندھن
bn:00036788n	دولت
bn:00036806n	دھواں
bn:00036813n	مزہ
bn:00036821n	کار
bn:00036822n	آپ
bn:00036822n	استعمال
bn:00036822n	فائدہ
bn:00036822n	مقصد
bn:00036822n	کام
bn:00036822n	کردار
bn:00036823n	حصہ
bn:00036823n	دفتر
bn:00036823n	عہدہ
bn:00036823n	کام
bn:00036823n	کردار
bn:00036826n	معمول
bn:00036837n	عہدیدار
bn:00036839n	فنڈ
bn:00036840n	ذخیرہ
bn:00036840n	فنڈ
bn:00036855n	جنازہ
bn:00036910n	غصہ
bn:00036926n	اتحادوں
bn:00036941n	مستقبل
bn:00036942n	مستقبل
bn:00037008n	مذاق
bn:00037019n	رنگ
bn:00037022n	فائدہ
bn:00037023n	منافع
bn:00037030n	رفتار
bn:00037055n	کہکشاں
bn:00037094n	بہادری
bn:00037169n	جوا
bn:00037175n	لیموں
bn:00037180n	میچ
bn:00037180n	میچز
bn:00037180n	کھیل
bn:00037181n	میچ
bn:00037181n	کھیل
bn:00037182n	میچ
bn:00037182n	کھیل
bn:00037183n	شکار
bn:00037183n	کھیل
bn:00037187n	سازش
bn:00037187n	منصوبہ
bn:00037277n	میں
bn:00037277n	پھیلنا
bn:00037278n	دروازہ
bn:00037300n	باغ
bn:00037301n	باغ
bn:00037302n	باغ
bn:00037326n	والا
bn:00037328n	باغبان
bn:00037352n	لباس
bn:00037352n	کپڑا
bn:00037439n	سانس
bn:00037486n	دروازہ
bn:00037496n	دروازہ
bn:00037551n	نظر
bn:00037605n	خزانہ
bn:00037633n	پیدا
bn:00037673n	ماہر
bn:00037676n	نسل
bn:00037677n	نسل
bn:00037679n	ابتدا
bn:00037679n	پیدائش
bn:00037681n	ضرب
bn:00037691n	سخاوت
bn:00037741n	صنف
bn:00037747n	نام
bn:00037770n	خادم
bn:00037770n	ملازم
bn:00040284n	اصل
bn:00040284n	جراثیم
bn:00040335n	اشارہ
bn:00040335n	حرکت
bn:00040336n	اشارہ
bn:00040336n	حرکت
bn:00040337n	اشارہ
bn:00040340n	ملاقات
bn:00040436n	تحفہ
bn:00040437n	تحفہ
bn:00040536n	لڑکی
bn:00040537n	لڑکی
bn:00040561n	بہار
bn:00040605n	شیشہ
bn:00040605n	گلاس
bn:00040606n	گلاس
bn:00040665n	اشارہ
bn:00040677n	چمکنا
bn:00040701n	اندھیرا
bn:00040711n	جلال
bn:00040711n	شان
bn:00040714n	جلال
bn:00040714n	شان
bn:00040741n	چمکنا
bn:00040844n	میں
bn:00040878n	اللہ
bn:00040878n	خدا
bn:00040878n	والا
bn:00040880n	بت
bn:00040888n	دیوی
bn:00041018n	سوراخ
bn:00041061n	نیکی
bn:00041068n	قسمتی
bn:00041073n	صبح
bn:00041083n	نعمت
bn:00041086n	سفارش
bn:00041192n	سیاست
bn:00041221n	فضل
bn:00041222n	فضل
bn:00041223n	فضل
bn:00041236n	قدم
bn:00041239n	درجہ
bn:00041239n	سطح
bn:00041241n	نشان
bn:00041258n	پیمانہ
bn:00041278n	دانہ
bn:00041313n	دادی
bn:00041348n	سلطان
bn:00041354n	اشرافیہ
bn:00041360n	اہمیت
bn:00041399n	انگور
bn:00041433n	گھاس
bn:00041463n	اطمینان
bn:00041467n	قبر
bn:00041468n	قبر
bn:00041473n	سنجیدگی
bn:00041491n	کشش
bn:00041510n	خاکستری
bn:00041544n	چربی
bn:00041585n	طاقت
bn:00041624n	عظمت
bn:00041634n	یونانی
bn:00041635n	یونانی
bn:00041654n	حسد
bn:00041721n	سبزی
bn:00041739n	سلام
bn:00041774n	باغی
bn:00041784n	غم
bn:00041820n	قبضہ
bn:00041837n	فروش
bn:00041853n	تربیت
bn:00041868n	آمدنی
bn:00041881n	زمین
bn:00041881n	سبب
bn:00041881n	وجہ
bn:00041883n	زمین
bn:00041942n	انجمن
bn:00041942n	جماعت
bn:00041942n	ذیل
bn:00041942n	گروپ
bn:00041942n	گروہ
bn:00041942n	گروہوں
bn:00041948n	ملاقات
bn:00041966n	باغ
bn:00041967n	باغ
bn:00041978n	ترقی
bn:00041979n	اضافہ
bn:00041979n	ترقی
bn:00041980n	ترقی
bn:00042006n	سور
bn:00042039n	ضمانت
bn:00042044n	محافظ
bn:00042045n	حفاظت
bn:00042046n	محافظوں
bn:00042090n	مہمان
bn:00042106n	رہنما
bn:00042107n	رہنما
bn:00042128n	جرم
bn:00042129n	قصور
bn:00042160n	خلیج
bn:00042221n	بندوق
bn:00042238n	میں
bn:00042250n	بارود
bn:00042264n	گرو
bn:00042275n	ذائقہ
bn:00042275n	مزہ
bn:00042327n	گھوڑا
bn:00042379n	پانی
bn:00042403n	عادات
bn:00042403n	عادت
bn:00042404n	استعمال
bn:00042404n	عادات
bn:00042404n	عادت
bn:00042526n	بال
bn:00042601n	نصف
bn:00042621n	بہن
bn:00042667n	رہائش
bn:00042697n	میں
bn:00042697n	والا
bn:00042745n	ڈھیر
bn:00042759n	میں
bn:00042759n	ہاتھ
bn:00042760n	میں
bn:00042760n	ہاتھ
bn:00042761n	ہاتھ
bn:00042762n	ہاتھ
bn:00042763n	میں
bn:00042763n	ہاتھ
bn:00042765n	ہاتھ
bn:00042804n	کام
bn:00042823n	سلوک
bn:00042823n	علاج
bn:00042904n	واقعات
bn:00042904n	واقعہ
bn:00042955n	غلام
bn:00042984n	خرگوش
bn:00042994n	حرم
bn:00043011n	تکلیف
bn:00043011n	زخم
bn:00043011n	نقصان
bn:00043011n	چوٹ
bn:00043023n	آہنگی
bn:00043029n	آہنگی
bn:00043114n	جلدی
bn:00043115n	جلدی
bn:00043116n	جلدی
bn:00043140n	نفرت
bn:00043206n	گھاس
bn:00043234n	دھند
bn:00043252n	سر
bn:00043254n	سر
bn:00043255n	سر
bn:00043256n	سربراہ
bn:00043267n	بات
bn:00043267n	سوال
bn:00043267n	مسئلہ
bn:00043283n	پردہ
bn:00043320n	عنوان
bn:00043357n	شفا
bn:00043358n	صحت
bn:00043372n	سماعت
bn:00043373n	سماعت
bn:00043383n	دل
bn:00043384n	دل
bn:00043385n	روح
bn:00043415n	حرارت
bn:00043415n	میں
bn:00043415n	والا
bn:00043415n	گرمی
bn:00043416n	گرمی
bn:00043417n	گرمی
bn:00043418n	گرمی
bn:00043484n	ہفتہ
bn:00043492n	یہودی
bn:00043544n	اونچائی
bn:00043545n	اونچائی
bn:00043555n	وارث
bn:00043603n	جہنم
bn:00043638n	کمزوری
bn:00043668n	کرہ
bn:00043684n	مرغی
bn:00043776n	بوٹی
bn:00043777n	بوٹی
bn:00043801n	مویشی
bn:00043801n	گروہ
bn:00043821n	میراث
bn:00043821n	ورثہ
bn:00043824n	میراث
bn:00043824n	ورثہ
bn:00044002n	جلد
bn:00044002n	کھال
bn:00044017n	درجہ
bn:00044018n	درجہ
bn:00044079n	برتری
bn:00044095n	غداری
bn:00044128n	شاہراہ
bn:00044138n	اضافہ
bn:00044141n	پہاڑی
bn:00044144n	ڈھیر
bn:00044174n	مداخلت
bn:00044196n	تجویز
bn:00044196n	نشان
bn:00044197n	کمر
bn:00044258n	تاریخ
bn:00044258n	دان
bn:00044258n	مورخ
bn:00044267n	تاریخ
bn:00044268n	تاریخ
bn:00044269n	تاریخ
bn:00044270n	تاریخ
bn:00044274n	میں
bn:00044275n	ٹکرانا
bn:00044304n	خزانہ
bn:00044382n	عوام
bn:00044382n	لوگ
bn:00044390n	گرفت
bn:00044407n	سوراخ
bn:00044408n	سوراخ
bn:00044409n	سوراخ
bn:00044410n	سوراخ
bn:00044415n	چھٹی
bn:00044416n	چھٹی
bn:00044419n	سیاح
bn:00044427n	سوراخ
bn:00044488n	گھر
bn:00044489n	گھر
bn:00044490n	گھر
bn:00044531n	واپسی
bn:00044539n	گھر
bn:00044547n	گھر
bn:00044565n	قتل
bn:00044576n	انسان
bn:00044622n	شہد
bn:00044653n	اعزاز
bn:00044654n	اعزاز
bn:00044727n	چھلانگ
bn:00044736n	امید
bn:00044737n	امید
bn:00044738n	امید
bn:00044738n	وعدہ
bn:00044739n	امید
bn:00044763n	افق
bn:00044774n	سینگ
bn:00044775n	سینگ
bn:00044778n	سینگ
bn:00044809n	ساز
bn:00044811n	زائچہ
bn:00044815n	خوف
bn:00044815n	وحشت
bn:00044816n	وحشت
bn:00044836n	دوڑ
bn:00044896n	اسپتال
bn:00044910n	میزبان
bn:00044911n	میزبان
bn:00044913n	میزبان
bn:00044926n	دشمنی
bn:00044967n	ہوٹل
bn:00044981n	کتا
bn:00044982n	وقت
bn:00044994n	مکان
bn:00044994n	گھر
bn:00044996n	گھر
bn:00044998n	گھر
bn:00044999n	گھر
bn:00045000n	نشان
bn:00045032n	لفافہ
bn:00045039n	گھر
bn:00045052n	مکان
bn:00045073n	توپ
bn:00045074n	چیخ
bn:00045098n	مرکز
bn:00045106n	شوہر
bn:00045106n	مرد
bn:00045167n	انسانیت
bn:00045168n	انسانیت
bn:00045170n	انسانیت
bn:00045172n	انسانیت
bn:00045179n	عاجزی
bn:00045190n	نمی
bn:00045192n	ذلت
bn:00045201n	مزاج
bn:00045206n	مزاح
bn:00045206n	نگار
bn:00045216n	شک
bn:00045229n	بھوک
bn:00045230n	بھوک
bn:00045234n	خواہش
bn:00045234n	شوق
bn:00045243n	تلاش
bn:00045244n	شکار
bn:00045245n	شکار
bn:00045247n	شکار
bn:00045273n	رکاوٹ
bn:00045282n	طوفان
bn:00045284n	رفتار
bn:00045286n	تکلیف
bn:00045286n	درد
bn:00045458n	شادی
bn:00045587n	منافقت
bn:00045588n	منافقت
bn:00045632n	امکان
bn:00045632n	مفروضہ
bn:00045632n	نظریہ
bn:00045705n	برف
bn:00045706n	برف
bn:00045768n	برف
bn:00045772n	تصاویر
bn:00045772n	تصویر
bn:00045792n	حملہ
bn:00045800n	تصور
bn:00045800n	خیال
bn:00045800n	سوچ
bn:00045800n	نظریہ
bn:00045801n	خیال
bn:00045802n	خیال
bn:00045804n	مثالی
bn:00045818n	شناخت
bn:00045834n	نظریہ
bn:00045855n	بت
bn:00045892n	جہالت
bn:00045936n	نتیجہ
bn:00045952n	بیماری
bn:00045956n	روشنی
bn:00045957n	روشنی
bn:00045960n	کا
bn:00045962n	تصویر
bn:00045963n	مثال
bn:00045971n	شکل
bn:00045979n	تصور
bn:00045979n	نظر
bn:00045997n	نقل
bn:00045998n	نقل
bn:00045999n	نقل
bn:00046009n	فوری
bn:00046019n	وطن
bn:00046021n	امیگریشن
bn:00046064n	اثر
bn:00046065n	اثر
bn:00046079n	صبری
bn:00046094n	دباؤ
bn:00046106n	سامراجیت
bn:00046127n	اوزار
bn:00046128n	مقصد
bn:00046138n	درآمد
bn:00046139n	مطلب
bn:00046139n	معنی
bn:00046143n	اہمیت
bn:00046148n	سزا
bn:00046157n	غربت
bn:00046169n	تصویر
bn:00046182n	قید
bn:00046191n	بہتری
bn:00046192n	بہتری
bn:00046197n	خواہش
bn:00046209n	آگے
bn:00046220n	غلطی
bn:00046221n	مور
bn:00046248n	افتتاح
bn:00046275n	آغاز
bn:00046282n	واقعات
bn:00046282n	واقعہ
bn:00046295n	تحریک
bn:00046300n	فہرست
bn:00046301n	رجحان
bn:00046304n	جھکنا
bn:00046315n	آمدنی
bn:00046315n	تنخواہ
bn:00046318n	واپسی
bn:00046344n	تکلیف
bn:00046355n	اضافہ
bn:00046356n	اضافہ
bn:00046357n	اضافہ
bn:00046376n	دخول
bn:00046406n	آزادی
bn:00046406n	خود
bn:00046407n	آزادی
bn:00046418n	اشارہ
bn:00046473n	اشارہ
bn:00046477n	والا
bn:00046482n	الزام
bn:00046485n	حسی
bn:00046487n	ضرورت
bn:00046491n	غصہ
bn:00046491n	غضب
bn:00046503n	خواہش
bn:00046516n	آدمی
bn:00046516n	انسان
bn:00046516n	ایک
bn:00046516n	روح
bn:00046516n	شخص
bn:00046516n	فرد
bn:00046516n	کوئی
bn:00046517n	فرد
bn:00046520n	انفرادیت
bn:00046521n	انفرادیت
bn:00046545n	آغاز
bn:00046568n	میں
bn:00046568n	والا
bn:00046568n	پودا
bn:00046568n	کار
bn:00046575n	صنعت
bn:00046576n	صنعت
bn:00046600n	ناگزیر
bn:00046665n	جگہ
bn:00046693n	اثر
bn:00046693n	رسوخ
bn:00046694n	اثر
bn:00046695n	اثر
bn:00046696n	اثر
bn:00046698n	اطلاع
bn:00046698n	معلومات
bn:00046703n	گواہ
bn:00046705n	معلومات
bn:00046706n	معلومات
bn:00046721n	خلاف
bn:00046730n	خلاف
bn:00046749n	ناشکری
bn:00046768n	رکاوٹ
bn:00046779n	کا
bn:00046794n	سیاہی
bn:00046833n	ایجاد
bn:00046836n	اشارہ
bn:00046849n	محرک
bn:00046854n	تحقیقات
bn:00046864n	پن
bn:00046865n	جنون
bn:00046867n	تحریر
bn:00046870n	کیڑا
bn:00046891n	اندر
bn:00046891n	اندرونی
bn:00046891n	داخلہ
bn:00046892n	اندر
bn:00046904n	بصیرت
bn:00046905n	بصیرت
bn:00046910n	اصرار
bn:00046920n	معائنہ
bn:00046931n	عدم
bn:00046932n	عدم
bn:00046942n	لمحہ
bn:00046942n	منٹ
bn:00046952n	ادارہ
bn:00046953n	ادارہ
bn:00046954n	ادارہ
bn:00046956n	تدریس
bn:00046956n	تعلیم
bn:00046956n	درس
bn:00046956n	ہدایات
bn:00046958n	اساتذہ
bn:00046958n	استاد
bn:00046961n	آلہ
bn:00046962n	آلہ
bn:00046962n	اوزار
bn:00046975n	کھلاڑی
bn:00046982n	نافرمانی
bn:00046997n	پالیسی
bn:00047003n	بغاوت
bn:00047009n	عدد
bn:00047016n	اتحاد
bn:00047016n	سالمیت
bn:00047021n	عقل
bn:00047028n	خبر
bn:00047028n	لفظ
bn:00047028n	پیغام
bn:00047039n	شدت
bn:00047042n	شدت
bn:00047043n	شدت
bn:00047046n	ارادہ
bn:00047046n	روح
bn:00047052n	عمل
bn:00047061n	مداخلت
bn:00047077n	دلچسپی
bn:00047077n	مفاد
bn:00047078n	خاطر
bn:00047078n	دلچسپی
bn:00047078n	مفاد
bn:00047078n	واسطہ
bn:00047079n	دلچسپی
bn:00047080n	دلچسپی
bn:00047080n	سود
bn:00047081n	حصہ
bn:00047081n	سود
bn:00047081n	مفاد
bn:00047082n	مفاد
bn:00047083n	دلچسپی
bn:00047092n	مداخلت
bn:00047093n	مداخلت
bn:00047114n	ترجمہ
bn:00047119n	وقفہ
bn:00047140n	نمائندگی
bn:00047196n	تشریح
bn:00047197n	تشریح
bn:00047198n	تشریح
bn:00047199n	تشریح
bn:00047201n	مترجم
bn:00047202n	مترجم
bn:00047203n	آواز
bn:00047203n	نمائندہ
bn:00047208n	سوال
bn:00047229n	وقفہ
bn:00047230n	وقفہ
bn:00047231n	علیحدگی
bn:00047235n	علاج
